"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"hsa-miR-376a-3p(2)",17.8157414922395,-0.711352813011711,0.674952918600721,-1.05392953109448,0.291915181368802,0.775578570107308,1
"hsa-miR-376a-A6G-3p(2)",19.5090144286165,-0.527853596421936,0.680033158624302,-0.776217438411058,0.437620611347677,0.869058537647469,1
"hsa-miR-376b(1)",10.5010352343331,-1.00225313287716,0.704611433362198,-1.42241962792841,0.154904468436973,0.77193106985349,1
"hsa-miR-376c(1)",119.397248004948,-0.568201046644981,0.624089217854355,-0.91044842690678,0.362586068410777,0.833739693549498,1
"hsa-miR-377(1)",81.9460788688356,-1.17211649485504,0.659902503993511,-1.77619646502594,0.075700540718211,0.760324285233523,1
"hsa-miR-377STAR(1)",10.9564403954383,-0.655803729857633,0.747381101142316,-0.877468976477042,0.380231962344773,0.852441775550896,1
"hsa-miR-378(1)",201.26687614204,0.86095376885484,0.560424934866592,1.53625171774305,0.124476656168207,0.760324285233523,1
"hsa-miR-379(1)",27.3996479172753,-0.740034571038828,0.618677100240898,-1.19615639685173,0.231635532837726,0.77193106985349,1
"hsa-miR-381(1)",98.7986777747177,-0.848138447575581,0.651226093721215,-1.30237171967293,0.19278934526736,0.77193106985349,1
"hsa-miR-382-3p(1)",10.3816906088482,0.234437624700046,0.779978792048328,0.300569229689414,0.763742998181411,0.901505107380754,1
"hsa-miR-382-5p(1)",43.0097104504022,-0.755688733242933,0.558836809458552,-1.35225296625523,0.176294404934419,0.77193106985349,1
"hsa-miR-409-3p(1)",93.0580723200453,-0.706453098664693,0.664708471673483,-1.06280140658673,0.287872021529534,0.775578570107308,1
"hsa-miR-409-5p(1)",17.8605213041935,-0.825848681542766,0.711156356644404,-1.1612758204673,0.245529749340295,0.77193106985349,1
"hsa-miR-410(1)",70.7248913355702,-0.982959494204911,0.63176818405514,-1.55588635042616,0.119735119705411,0.760324285233523,1
"hsa-miR-411(1)",33.0543648317747,-0.795454559203112,0.64734047799214,-1.22880398530056,0.219145306963146,0.77193106985349,1
"hsa-miR-421(1)",35.8046746322844,-0.473614020576092,0.559226660627937,-0.846908872413713,0.397045916722226,0.869058537647469,1
